case_id,company,company_type,use_case,metric,result_value,result_type,unit,source,source_type,year,relevance_to_muller,notes
1,Customs Support Group,Customs & trade solutions provider,Customs declaration automation,Efficiency gain - simple repetitive tasks,99.0,Quantitative,Percentage,CSG press release / Intelligent CIO Europe,Press release + trade media,2025,Direct - same document types and cross-border complexity,First round of testing in UK before EU rollout
2,Customs Support Group,Customs & trade solutions provider,Customs declaration automation,Efficiency gain - complex declarations,36.0,Quantitative,Percentage,Intelligent CIO Europe,Trade media,2025,Direct - mirrors complex project cargo declarations,Complex goods declarations benchmark
3,Customs Support Group,Customs & trade solutions provider,Customs declaration automation,Declarations processed fully digitally per year,4000000,Quantitative,Count,CSG press release,Press release,2025,Direct - scale reference for multi-country operator,Across 14 European markets
4,Customs Support Group,Customs & trade solutions provider,Customs declaration automation,Markets rolled out across Europe,14,Quantitative,Count,CSG press release,Press release,2025,Direct - Muller operates across 8 countries,UK + Netherlands + Belgium + Italy + Ireland + more
5,Customs Support Group,Customs & trade solutions provider,Customs declaration automation,December 2025 efficiency targets hit early,October 2025,Qualitative,Month,CSG / Intelligent CIO Europe,Trade media,2025,Direct - demonstrates faster-than-expected adoption,Italy led the rollout ahead of target
6,Customs Support Group,Customs & trade solutions provider,Customs declaration automation,Overall efficiency improvement target 2025,50.0,Quantitative,Percentage,Intelligent CIO Europe,Trade media,2025,Direct - gross efficiency target for the year,Gross improvement across all declaration types
7,Customs Support Group,Customs & trade solutions provider,Customs declaration automation,Declarations per capita increase,Significant,Qualitative,Descriptor,CSG internal measurement,Press release,2025,Direct - staff productivity improvement,2025 targets met 2 months early in Italy
8,Kuehne+Nagel,Global 3PL (top 3 worldwide),AI-supported customs services,Customs division revenue growth,Noticeable increase,Qualitative,Descriptor,Kuehne+Nagel Annual Report 2024,Annual report,2024,Direct - same service offering as Muller's customs ops,Described as standout example of market potential
9,Kuehne+Nagel,Global 3PL (top 3 worldwide),AI-supported customs services,Demand for AI customs services 2025,Increased noticeably,Qualitative,Descriptor,Kuehne+Nagel 2025 full-year results,Financial results,2025,Direct - confirms growing client demand for AI customs,Contributing to record Contract Logistics results
10,Kuehne+Nagel,Global 3PL (top 3 worldwide),AI document recognition - Proof of Delivery,Automated rejection of unreadable PODs,Active,Qualitative,Descriptor,Kuehne+Nagel Newsroom,Press release,2024,Direct - same POD processing Muller handles daily,Road Carrier Solution deployed in Europe Africa Middle East
11,Kuehne+Nagel,Global 3PL (top 3 worldwide),AI document recognition - Proof of Delivery,NLP driver feedback sentiment analysis,Real-time,Qualitative,Descriptor,Kuehne+Nagel Newsroom,Press release,2024,Indirect - demonstrates AI document reading maturity,Flags situations needing operational intervention
12,Kuehne+Nagel,Global 3PL (top 3 worldwide),Cloud TMS migration,Data migrated to cloud,120,Quantitative,Terabytes,Kuehne+Nagel Annual Report 2024,Annual report,2024,Indirect - infrastructure investment enabling AI,Sea and Air Logistics TMS migrated in 2024
13,Maersk,Global integrated logistics leader,AI in supply chain decision-making,Forecasting and capacity planning,Proven proof points,Qualitative,Descriptor,Maersk SVP statement / Maersk.com,Company statement,2024,Indirect - AI maturity benchmark for the industry,Described as game-changer in 2024
14,Maersk,Global integrated logistics leader,Predictive maintenance - maritime,Vessel downtime reduction,30.0,Quantitative,Percentage,DocShipper,Trade publication,2025,Indirect - demonstrates AI operational ROI at scale,Saving over USD 300M annually
15,Maersk,Global integrated logistics leader,Predictive maintenance - maritime,Annual savings from AI maintenance,300,Quantitative,USD Million,DocShipper,Trade publication,2025,Indirect - financial scale of AI impact,Plus 1.5M tonnes CO2 reduction
16,Maersk,Global integrated logistics leader,AI warehouse robotics,Inventory pickup improvement,33.0,Quantitative,Percentage,DisruptionHub,Trade media,2025,Indirect - AI capability benchmark,UK warehouse operations
17,Maersk,Global integrated logistics leader,AI warehouse robotics,Sorting speed improvement,3x,Qualitative,Multiplier,DisruptionHub,Trade media,2025,Indirect - AI capability benchmark,Tripled sorting speed vs manual
18,Maersk,Global integrated logistics leader,Digital customs and B/L,Bill of lading digitisation,Core strategic priority,Qualitative,Descriptor,Maersk Trend Map / Digital Transformation page,Company strategy,2025,Direct - same document types Muller processes,Moving away from paper-based customs in emerging markets
19,DB Schenker,Global freight and logistics,AI demand forecasting,Daily forecast series generated,6300,Quantitative,Count per day,DB Schenker Insights blog,Company blog,2025,Indirect - AI operational scale benchmark,Forecasting Fortune Teller runs daily
20,DB Schenker,Global freight and logistics,AI network simulation,Black Friday peak scenario simulation,Active,Qualitative,Descriptor,Transmetrics.ai / DB Schenker blog,Trade media + company blog,2025,Indirect - AI maturity in operations,Bulgaria used AI simulation to optimise network
21,DB Schenker,Global freight and logistics,Azure AI platform,Countries served by one AI model,Multiple,Qualitative,Descriptor,DB Schenker Insights blog,Company blog,2024,Indirect - scalable AI architecture reference,One model adaptable to country-specific needs
22,CR Express,Container freight station operator,Automated customs processing,Customs clearance time reduction,42.0,Quantitative,Percentage,CR Express CFS guide,Company publication,2025,Direct - same customs clearance process Muller faces,Automated customs processing vs manual baseline
23,CR Express,Container freight station operator,Automated customs processing,Document accuracy rate,99.5,Quantitative,Percentage,CR Express CFS guide,Company publication,2025,Direct - accuracy benchmark for AI document processing,AI document processing at CFS operations
24,FreightMynd,AI platform for freight forwarders,Customs declaration automation,Declaration fields pre-populated by AI,85.0,Quantitative,Percentage,FreightMynd blog,Company publication,2026,Direct - same customs declaration workflow,Midpoint of 80-90% auto pre-population
25,KlearNow.AI,Customs automation platform,AI customs document processing,Manual entry error reduction,85.0,Quantitative,Percentage,VirtualWorkforce.ai,Trade media,2025,Direct - document error rate benchmark,Digital workflows cutting manual entry errors
26,Logistics company (unnamed),Mid-size logistics operator,AI document processing,Processing time reduction per file,90.0,Quantitative,Percentage,Docsumo IDP Market Report,Industry report,2025,Direct - mid-size operator benchmark,From 7+ minutes to under 30 seconds per file
27,Finance team (unnamed),Enterprise organisation,AI invoice automation,Annual savings from IDP automation,878000,Quantitative,USD,Docsumo IDP Market Report,Industry report,2025,Direct - financial ROI benchmark for automation,Finance team eliminating human errors via IDP
28,XPO Logistics,Mid-size carrier (comparable scale),AI freight matching,Load auto-matching rate,99.7,Quantitative,Percentage,DocShipper,Trade publication,2025,Indirect - AI automation benchmark at comparable scale,99.7% of loads matched automatically without human intervention
29,XPO Logistics,Mid-size carrier (comparable scale),AI freight matching,Transportation cost reduction,15.0,Quantitative,Percentage,DocShipper,Trade publication,2025,Indirect - cost reduction benchmark at mid-market scale,Mid-sized provider competing with industry giants
30,DHL,Global express and logistics,AI route optimisation,Annual fuel savings,180,Quantitative,EUR Million,DHL Sustainability Report,Sustainability report,2025,Indirect - AI financial scale benchmark,European parcel network 2.3M stops daily
